Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,Alpha,0.001
1,7.06348289,114,506.03125,9.228374654,,,Runtime,1248.417592
2,6.923645506,116,808.625,9.54235581,,,,
3,7.559465656,116,852.3125,9.68776326,,,,
4,6.996133543,110,421.46875,9.789811274,,,,
5,6.971280295,113,525.03125,11.15104457,,,,
6,7.062754053,109,660.40625,11.52060704,,,,
7,7.103030802,107,468.84375,8.435021464,,,,
8,7.127031304,108,519.28125,13.90347848,,,,
9,6.914119463,109,613.28125,9.795995102,,,,
10,7.115710412,109,377.84375,9.310584333,,,,
11,6.92524113,106,430.125,9.782747495,,,,
12,6.828812577,104,564.09375,9.237608593,,,,
13,6.956523128,106,751.625,9.821059499,,,,
14,7.105812369,106,377,11.53924818,,,,
15,7.039761848,106,526.8125,9.048694204,,,,
16,6.994700067,106,390,10.08264154,,,,
17,6.908442735,101,516.21875,9.312028907,,,,
18,7.068401186,106,430,11.90171956,,,,
19,7.099363471,107,525.40625,10.6210219,,,,
20,6.778896378,103,418.09375,10.14074812,,,,
21,6.886000628,102,802.90625,11.53361082,,,,
22,6.940015286,102,243.375,8.960681317,,,,
23,6.716746835,101,711.71875,8.872743366,,,,
24,7.234433752,110,374.9375,11.29776842,,,,
25,7.259097687,107,570.6875,11.06684573,,,,
26,6.962075026,106,708.28125,9.148968924,,,,
27,7.244419913,108,521.84375,10.42675455,,,,
28,7.042782554,104,326.34375,11.13252043,,,,
29,7.027698735,105,477.40625,9.709946723,,,,
30,7.276311405,106,422.8125,12.56848597,,,,
31,7.345489464,104,522.59375,10.00310331,,,,
32,7.15885439,105,706.28125,10.25125219,,,,
33,6.822584283,102,432.625,11.17410946,,,,
34,7.628328418,104,373.0625,9.313229238,,,,
35,7.509786611,111,333,10.42481821,,,,
36,7.470101486,114,428.875,9.095484238,,,,
37,7.572704988,139,427.0625,9.476384851,,,,
38,8.27229224,178,513.9375,10.30849861,,,,
39,8.381016258,200,615.28125,10.19201774,,,,
40,-17.30707978,106,421.9375,10.07491888,,,,
41,-17.82940782,182,473.40625,12.91617805,,,,
42,-16.37753751,81,470.6875,10.25192406,,,,
43,-17.31588548,96,525.71875,8.340568686,,,,
44,-17.15575407,81,376.0625,9.270948213,,,,
45,-17.1138851,84,469.53125,10.29094658,,,,
46,-17.1587203,83,379.21875,10.21504481,,,,
47,-16.9352957,80,464.375,11.14270548,,,,
48,-16.67003567,76,517.9375,11.02285558,,,,
49,-16.90246272,80,417.03125,8.49423461,,,,
