Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,Alpha,0.02
1,6.189846003,88,605.09375,7.928667976,,,Runtime,5280.073118
2,6.752006141,99,752.34375,12.54382588,,,,
3,6.366961878,99,524.6875,9.560981841,,,,
4,6.177667033,103,385.5625,9.005331988,,,,
5,5.871412999,87,288.65625,7.464232447,,,,
6,1.608843119,87,377.21875,10.19553477,,,,
7,2.283947913,120,270.875,7.872021351,,,,
8,5.115040573,97,317.875,8.902293162,,,,
9,2.610787182,70,220.34375,5.996973836,,,,
10,2.825775237,70,178.0625,5.439247295,,,,
11,2.270717687,62,215,5.766949342,,,,
12,2.330155647,62,161.28125,5.650891411,,,,
13,-0.738378116,53,82.75,3.6471466,,,,
14,2.575380793,64,123.0625,2.663017231,,,,
15,2.701020016,65,164.40625,6.535444981,,,,
16,1.007227838,58,222.25,6.985843284,,,,
17,-1.023478439,55,160.3125,7.438434429,,,,
18,-1.390757135,55,108.6875,5.384735682,,,,
19,1.086502261,60,65.5,1.775601985,,,,
20,2.434948961,64,70.875,2.920838456,,,,
21,3.628191009,68,68.03125,1.849347928,,,,
22,3.038792951,79,127.5625,3.703501272,,,,
23,4.175744627,76,76.46875,2.584159123,,,,
24,4.578008974,131,127.96875,4.073737276,,,,
25,5.867846224,85,79.96875,1.862597333,,,,
26,5.244617518,84,82.46875,1.752260986,,,,
27,5.030023009,82,227.53125,6.619731712,,,,
28,5.046644012,85,227.25,7.116702537,,,,
29,4.930918154,79,225.25,5.033863128,,,,
30,5.146201386,80,121.875,2.627780139,,,,
31,5.190706364,82,222.59375,7.961212394,,,,
32,3.92858816,79,128.09375,5.199081493,,,,
33,4.15095942,77,79.4375,1.730296588,,,,
34,3.932607209,94,129.1875,5.887484175,,,,
35,4.124691555,78,81.1875,3.278082149,,,,
36,4.5354207,88,81.28125,2.179787486,,,,
37,4.76528156,72,135.03125,5.964160952,,,,
38,4.401428065,73,133.625,6.331882004,,,,
39,4.981159299,78,75.9375,1.415630116,,,,
40,4.046708174,107,135.40625,4.457734838,,,,
41,4.465141753,89,135.5,8.7974109,,,,
42,5.092771244,108,83.03125,3.146047804,,,,
43,4.194221495,119,138.78125,7.273539206,,,,
44,4.472867251,91,82.78125,3.780189968,,,,
45,4.690298508,82,228.90625,6.339634888,,,,
46,4.521962756,84,130.4375,5.555727272,,,,
47,3.888569559,77,319.78125,8.475334205,,,,
48,5.600011368,88,84.84375,1.821335035,,,,
49,5.057250785,89,179.125,7.602685683,,,,
50,4.499230219,74,183.875,5.78143613,,,,
51,4.932624423,82,87.78125,4.059627021,,,,
52,4.865751287,78,141.78125,5.977422823,,,,
53,4.960647892,83,88.875,3.565832967,,,,
54,3.831577346,107,133.71875,8.297290407,,,,
55,3.251043719,85,84.09375,4.25836013,,,,
56,4.653798615,81,83.375,2.383631847,,,,
57,3.61431842,82,92.90625,2.350979286,,,,
58,5.683232026,104,89.4375,1.957127428,,,,
59,6.800561036,111,92.21875,1.507308518,,,,
60,6.3020649,94,147.96875,4.34881433,,,,
61,6.330347702,96,146.34375,6.448292102,,,,
62,6.083981169,95,194.21875,8.967266376,,,,
63,6.001764266,93,188.3125,9.732606174,,,,
64,4.270427865,79,190.0625,8.666778476,,,,
65,4.964005922,85,85.46875,1.16575883,,,,
66,5.744609397,106,137.5,5.71090908,,,,
67,4.551760072,80,92.84375,2.039207492,,,,
68,5.367669482,89,90.53125,3.315921052,,,,
69,6.10087453,94,91.53125,3.929713838,,,,
70,3.752773801,68,99.65625,4.309147455,,,,
71,5.847985104,90,88.59375,1.072941077,,,,
72,5.170042872,86,96.84375,4.626834826,,,,
73,5.780075354,98,91.34375,2.015485858,,,,
74,5.616465272,88,92.875,5.081111465,,,,
75,5.366773259,79,89.4375,1.982746443,,,,
76,5.735066541,85,92.5,3.438959437,,,,
77,5.155600141,81,182.5625,7.529939228,,,,
78,5.555492267,85,142.625,4.568875742,,,,
79,6.368499512,101,90.125,1.085035685,,,,
80,6.393652275,96,98.0625,5.753312667,,,,
81,6.179824356,93,93.3125,6.437461443,,,,
82,5.797737857,98,184.875,9.042678463,,,,
83,5.982160352,100,146.3125,4.555720323,,,,
84,5.986002594,103,147.59375,7.629155902,,,,
85,5.84013503,98,144.3125,6.957161187,,,,
86,5.06797639,96,140.625,6.220443327,,,,
87,5.306612286,97,142.65625,5.062744154,,,,
